quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,64,16,16,48,early,74.1132
hadamard,8,64,16,16,48,mid,60.3686
hadamard,8,64,16,16,48,late,18653969329263657091072.0000
hadamard,8,64,16,16,48,all,1790733950209008599040.0000
hadamard,8,64,16,16,48,early,25.1302
hadamard,8,64,16,16,48,mid,25.1302
hadamard,8,64,16,16,48,late,25.1302
hadamard,8,64,16,16,48,all,25.1302
hadamard,8,64,16,16,36,early,25.3482
hadamard,8,64,16,16,36,mid,25.6498
hadamard,8,64,16,16,36,late,96.8589
hadamard,8,64,16,16,36,all,88.2220
hadamard,8,64,16,16,24,early,25.6901
hadamard,8,64,16,16,24,mid,26.4384
hadamard,8,64,16,16,24,late,146.7830
hadamard,8,64,16,16,24,all,106.8615
hadamard,8,64,16,16,12,early,26.2751
hadamard,8,64,16,16,12,mid,28.0140
hadamard,8,64,16,16,12,late,216.4354
hadamard,8,64,16,16,12,all,138.1481
hadamard,8,64,16,16,6,early,27.0189
hadamard,8,64,16,16,6,mid,29.7958
hadamard,8,64,16,16,6,late,248.8491
hadamard,8,64,16,16,6,all,165.8525
hadamard,8,64,16,8,48,early,29.1532
hadamard,8,64,16,8,48,mid,32.0927
hadamard,8,64,16,8,48,late,44.2715
hadamard,8,64,16,8,48,all,176.9958
hadamard,8,64,16,8,36,early,29.8249
hadamard,8,64,16,8,36,mid,33.0691
hadamard,8,64,16,8,36,late,89.8239
hadamard,8,64,16,8,36,all,215.3866
hadamard,8,64,16,8,24,early,30.7348
hadamard,8,64,16,8,24,mid,34.4110
hadamard,8,64,16,8,24,late,131.8450
hadamard,8,64,16,8,24,all,260.5621
hadamard,8,64,16,8,12,early,31.9340
hadamard,8,64,16,8,12,mid,36.4099
hadamard,8,64,16,8,12,late,199.4562
hadamard,8,64,16,8,12,all,366.2138
hadamard,8,64,16,8,6,early,33.1772
hadamard,8,64,16,8,6,mid,37.7232
hadamard,8,64,16,8,6,late,229.4260
hadamard,8,64,16,8,6,all,451.5354
hadamard,8,64,16,4,48,early,31.9971
hadamard,8,64,16,4,48,mid,38.6402
hadamard,8,64,16,4,48,late,774.4230
hadamard,8,64,16,4,48,all,4798.7573
hadamard,8,64,16,4,36,early,32.8597
hadamard,8,64,16,4,36,mid,39.6608
hadamard,8,64,16,4,36,late,697.4055
hadamard,8,64,16,4,36,all,4153.0303
hadamard,8,64,16,4,24,early,33.9924
hadamard,8,64,16,4,24,mid,40.8093
hadamard,8,64,16,4,24,late,802.3568
hadamard,8,64,16,4,24,all,5582.6958
hadamard,8,64,16,4,12,early,35.3888
hadamard,8,64,16,4,12,mid,42.4016
hadamard,8,64,16,4,12,late,937.7518
hadamard,8,64,16,4,12,all,7208.9155
hadamard,8,64,16,4,6,early,36.8627
hadamard,8,64,16,4,6,mid,43.5108
hadamard,8,64,16,4,6,late,949.4041
hadamard,8,64,16,4,6,all,8027.3608
hadamard,8,64,8,16,48,early,25.8680
hadamard,8,64,8,16,48,mid,27.3051
hadamard,8,64,8,16,48,late,38.0506
hadamard,8,64,8,16,48,all,81.6779
