B_Rank,C_Rank,DT_Rank,Perplexity
Full,Full,Full,25.1302
16,16,48,25.2557
16,16,36,30.2524
16,16,24,34.5997
16,8,48,55.5147
16,8,36,70.0763
16,8,24,82.0213
16,4,48,105.9601
16,4,36,136.3399
16,4,24,157.3147
8,16,48,39.9941
8,16,36,49.2586
8,16,24,57.5680
8,8,48,117.3293
8,8,36,148.1043
8,8,24,178.2167
8,4,48,198.2497
8,4,36,254.8816
8,4,24,295.3817
4,16,48,75.2132
4,16,36,87.5075
4,16,24,98.9374
4,8,48,305.1705
4,8,36,311.3862
4,8,24,336.6531
4,4,48,431.9825
4,4,36,439.6297
4,4,24,470.2751
