bits,group,rb,rc,rdt,layer_mode,ppl
8,64,16,16,48,early,25.1283
8,64,16,16,48,mid,25.1307
8,64,16,16,48,late,25.1316
8,64,16,16,48,all,25.1283
8,64,16,16,36,early,25.3471
8,64,16,16,36,mid,25.6555
8,64,16,16,36,late,96.6135
8,64,16,16,36,all,87.9776
8,64,16,16,24,early,25.6888
8,64,16,16,24,mid,26.4428
8,64,16,16,24,late,145.4632
8,64,16,16,24,all,106.0202
8,64,16,8,48,early,29.1647
8,64,16,8,48,mid,32.0872
8,64,16,8,48,late,44.2506
8,64,16,8,48,all,176.3865
8,64,16,8,36,early,29.8364
8,64,16,8,36,mid,33.0660
8,64,16,8,36,late,89.8229
8,64,16,8,36,all,214.7171
8,64,16,8,24,early,30.7454
8,64,16,8,24,mid,34.4039
8,64,16,8,24,late,131.2816
8,64,16,8,24,all,259.0279
8,64,16,4,48,early,31.9822
8,64,16,4,48,mid,38.6869
8,64,16,4,48,late,768.5093
8,64,16,4,48,all,4830.4160
8,64,16,4,36,early,32.8445
8,64,16,4,36,mid,39.7088
8,64,16,4,36,late,693.8547
8,64,16,4,36,all,4144.2271
8,64,16,4,24,early,33.9746
8,64,16,4,24,mid,40.8479
8,64,16,4,24,late,800.2171
8,64,16,4,24,all,5570.1079
8,64,8,16,48,early,25.8731
8,64,8,16,48,mid,27.3097
8,64,8,16,48,late,38.0233
8,64,8,16,48,all,81.9593
8,64,8,16,36,early,26.2225
8,64,8,16,36,mid,28.1210
8,64,8,16,36,late,103.2248
8,64,8,16,36,all,128.2863
8,64,8,16,24,early,26.6932
8,64,8,16,24,mid,29.1253
8,64,8,16,24,late,155.7416
8,64,8,16,24,all,166.1065
8,64,8,8,48,early,31.5141
8,64,8,8,48,mid,34.7978
8,64,8,8,48,late,173.3910
8,64,8,8,48,all,11494.4971
8,64,8,8,36,early,32.3775
8,64,8,8,36,mid,35.7805
8,64,8,8,36,late,215.8113
8,64,8,8,36,all,10899.3477
8,64,8,8,24,early,33.4908
8,64,8,8,24,mid,36.9859
8,64,8,8,24,late,292.8858
8,64,8,8,24,all,12907.8936
8,64,8,4,48,early,33.3389
8,64,8,4,48,mid,40.9737
8,64,8,4,48,late,3198.8362
8,64,8,4,48,all,50479.3672
8,64,8,4,36,early,34.2920
8,64,8,4,36,mid,41.9185
8,64,8,4,36,late,1602.9431
8,64,8,4,36,all,29942.3672
8,64,8,4,24,early,35.5028
8,64,8,4,24,mid,42.9828
8,64,8,4,24,late,1804.1428
8,64,8,4,24,all,41788.0469
8,64,4,16,48,early,26.4619
8,64,4,16,48,mid,30.6702
8,64,4,16,48,late,100.4531
8,64,4,16,48,all,471.7003
8,64,4,16,36,early,26.8494
8,64,4,16,36,mid,31.5573
8,64,4,16,36,late,148.1224
8,64,4,16,36,all,520.9318
8,64,4,16,24,early,27.3942
8,64,4,16,24,mid,32.6880
8,64,4,16,24,late,196.9138
8,64,4,16,24,all,631.4847
8,64,4,8,48,early,33.1199
8,64,4,8,48,mid,39.4108
8,64,4,8,48,late,958.1653
8,64,4,8,48,all,288512.4688
8,64,4,8,36,early,34.0244
8,64,4,8,36,mid,40.3139
8,64,4,8,36,late,617.3196
8,64,4,8,36,all,146671.8750
8,64,4,8,24,early,35.2335
8,64,4,8,24,mid,41.2928
8,64,4,8,24,late,696.5361
8,64,4,8,24,all,150149.9531
